Workout_ID,Phase,Workout_Name,Category,Order,Exercise_Name,P1-A,Abs-A
P2-C,Phase 2,Workout C: Shoulder Focus,Main,9,Pilates Squat + Squat ,P2-C,
P2-C,Phase 2,Workout C: Shoulder Focus,Main,10,Side Plank Dips ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,1,Shuttle Runs (yd) ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,2,Speed Skaters ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,3,V-Ups/Knee Raises ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,4,Burpees ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,5,Spiderman Push-ups ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,6,Plank with Knee-to-Elbow ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,7,Mountain Climber Burpee ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,8,Ice Skater Steps ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,9,Squat Thrusts ,P2-D,
P2-D,Phase 2,Workout D: Agility/Total,Main,10,Deadlift ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,1,DB Goblet Squat ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,2,RDL (Dumbbells) ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,3,DB Bench Press ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,4,DB Incline Press ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,5,Weighted Deadbug ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,6,Pallof Press ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,7,Dips/Band Flyes ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,8,Inchworm Push-Up ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,9,Calf Raises ,P3-A,
P3-A,Phase 3,Workout A: Chest/Push,Main,10,Weighted Sit-up ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,1,DB Split Squat ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,2,Leg Press + Leg Machines ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,3,Lat Pulldown ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,4,Seated Cable Row ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,5,Cable Woodchops ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,6,Plank with Row ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,7,Cable Face Pulls ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,8,Bicep Curls ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,9,Single-Leg Bridge ,P3-B,
P3-B,Phase 3,Workout B: Back/Pull,Main,10,Reverse Crunch ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,1,KB Deadlift ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,2,Hamstring Curl ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,3,DB Overhead Press ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,4,Cable/Band Lateral Raise ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,5,Hanging Leg Raises ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,6,Landmine Rotation ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,7,Burpee DB Press ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,8,Diamond + Wide Pushups ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,9,Wall Sits (Weighted) ,P3-C,
P3-C,Phase 3,Workout C: Shoulders,Main,10,Windshields/Alternate Knee Raises ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,1,DB Step-ups ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,2,Goblet Lateral Lunge ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,3,DB Renegade Row ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,4,Push-up (Weighted) ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,5,Medicine Ball Rotational Toss ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,6,Suitcase Carry (L/R) ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,7,DB Hammer Curls ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,8,Box Dips (Assist) ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,9,Lunge with Twist ,P3-D,
P3-D,Phase 3,Workout D: Total Body,Main,10,Farmer's Walk ,,
Abs-A,N/A,Abs: Variation A,Abs,1,Center Decline,,
Abs-A,N/A,Abs: Variation A,Abs,2,Teapots,,
Abs-A,N/A,Abs: Variation A,Abs,3,Single Leg Decline,,
Abs-A,N/A,Abs: Variation A,Abs,4,Knee/Leg Raises,,
Abs-A,N/A,Abs: Variation A,Abs,5,Plank,,
Abs-A,N/A,Abs: Variation A,Abs,6,Plank Shoulder Taps,,
Abs-A,N/A,Abs: Variation A,Abs,7,Deadbugs,,
Abs-A,N/A,Abs: Variation A,Abs,8,Plank In and Outs,,
Abs-A,N/A,Abs: Variation A,Abs,9,Decline Russian Twists,,
Abs-A,N/A,Abs: Variation A,Abs,10,Knee to Elbows,,
Abs-A,N/A,Abs: Variation A,Abs,11,Toe Taps,,
Abs-A,N/A,Abs: Variation A,Abs,12,V-Ups,,
Abs-B,N/A,Abs: Variation B,Abs,1,V-Ups,,
Abs-B,N/A,Abs: Variation B,Abs,2,Toe Taps,,
Abs-B,N/A,Abs: Variation B,Abs,3,Knee to Elbows,,
Abs-B,N/A,Abs: Variation B,Abs,4,Decline Russian Twists,,
Abs-B,N/A,Abs: Variation B,Abs,5,Plank In and Outs,,
Abs-B,N/A,Abs: Variation B,Abs,6,Deadbugs,,
Abs-B,N/A,Abs: Variation B,Abs,7,Plank Shoulder Taps,,
Abs-B,N/A,Abs: Variation B,Abs,8,Plank,,
Abs-B,N/A,Abs: Variation B,Abs,9,Knee/Leg Raises,,
Abs-B,N/A,Abs: Variation B,Abs,10,Single Leg Decline,,
Abs-B,N/A,Abs: Variation B,Abs,11,Teapots,,
Abs-B,N/A,Abs: Variation B,Abs,12,Center Decline,,
Abs-C,N/A,Abs: Variation C,Abs,1,Plank,,
Abs-C,N/A,Abs: Variation C,Abs,2,Deadbugs,,
Abs-C,N/A,Abs: Variation C,Abs,3,V-Ups,,
Abs-C,N/A,Abs: Variation C,Abs,4,Center Decline,,
Abs-C,N/A,Abs: Variation C,Abs,5,Teapots,,
Abs-C,N/A,Abs: Variation C,Abs,6,Single Leg Decline,,
Abs-C,N/A,Abs: Variation C,Abs,7,Knee/Leg Raises,,
Abs-C,N/A,Abs: Variation C,Abs,8,Plank Shoulder Taps,,
Abs-C,N/A,Abs: Variation C,Abs,9,Plank In and Outs,,
Abs-C,N/A,Abs: Variation C,Abs,10,Decline Russian Twists,,
Abs-C,N/A,Abs: Variation C,Abs,11,Knee to Elbows,,
Abs-C,N/A,Abs: Variation C,Abs,12,Toe Taps,,
Abs-D,N/A,Abs: Variation D,Abs,1,Decline Russian Twists,,
Abs-D,N/A,Abs: Variation D,Abs,2,Knee to Elbows,,
Abs-D,N/A,Abs: Variation D,Abs,3,Toe Taps,,
Abs-D,N/A,Abs: Variation D,Abs,4,V-Ups,,
Abs-D,N/A,Abs: Variation D,Abs,5,Center Decline,,
Abs-D,N/A,Abs: Variation D,Abs,6,Teapots,,
Abs-D,N/A,Abs: Variation D,Abs,7,Single Leg Decline,,
Abs-D,N/A,Abs: Variation D,Abs,8,Knee/Leg Raises,,
Abs-D,N/A,Abs: Variation D,Abs,9,Plank,,
Abs-D,N/A,Abs: Variation D,Abs,10,Plank Shoulder Taps,,
Abs-D,N/A,Abs: Variation D,Abs,11,Deadbugs,,
Abs-D,N/A,Abs: Variation D,Abs,12,Plank In and Outs,,
